No.	x	y
1	0.376256303	0.870403186
2	-0.693369782	0.550666364
3	0.325665875	0.937223176
4	0.854418922	0.152192169
5	-0.71950174	0.627887531
6	-0.98841528	0.424759124
7	-0.809254147	-0.719388401
8	-0.795294541	0.459135685
9	0.338991818	1.059169496
10	-0.913165461	-0.634558421
11	-0.89820275	0.755551375
12	0.493354932	-1.016001644
13	1.069793226	-0.031867817
14	0.236494717	-1.100820978
15	0.150530314	-0.913057981
16	0.486022282	0.960329783
17	0.302368436	0.916470876
18	-0.808393045	-0.707301146
19	0.323577596	-0.830154868
20	-0.830438513	0.520840325
21	-0.759140523	0.41167569
22	-0.849247862	-0.531428245
23	-0.721284344	-0.485856214
24	-0.903690215	-0.54877992
25	0.825101576	-0.108576899
26	0.367041838	-0.784664318
27	-0.948184608	0.632417033
28	0.217275566	-0.908266556
29	-0.796432154	0.567108882
30	-1.007869156	0.645843091
31	0.493403344	-0.886973819
32	-0.663980343	-0.761110725
33	-0.7419723	-0.705146687
34	-0.685095744	0.602434457
35	0.33467124	1.10351559
36	-0.989304195	0.52479731
37	-0.729185001	-0.482542315
38	-0.896737644	-0.62852898
39	0.839061792	0.087483676
40	0.23714037	-0.821625386
41	1.006756013	-0.160942592
42	0.471778421	-1.04098067
43	-0.887748383	-0.704133913
44	0.23495369	1.015589165
45	0.900821932	0.17732881
46	-0.823292928	-0.505883449
47	0.313030274	-0.893408382
48	0.319584094	1.084270442
49	0.47331804	-0.828802715
50	0.280183485	-0.940743095
51	1.166446681	0.042370104
52	0.98188599	0.049947102
53	0.959706385	-0.035577575
54	0.507605987	-0.976659957
55	-0.773258927	0.472677496
56	-0.707316153	-0.701300957
57	0.847652899	-0.126790112
58	0.440986779	1.016140147
59	0.895365674	-0.169543804
60	0.263411028	-1.150849895
61	0.45901119	0.972114743
62	-0.924644075	-0.729512487
63	0.448925129	-0.838817593
64	0.235822254	1.04424352
65	1.153505004	0.065370393
66	0.137427231	-0.811177032
67	0.145652994	-0.76100035
68	-0.779528112	-0.707880397
69	-0.951770136	-0.539707622
70	0.481582796	-1.109478981
71	0.86905481	0.026986941
72	0.138700506	-0.932605896
73	0.383307073	0.907869395
74	0.499271443	-1.04875309
75	-0.795756407	-0.424102929
76	-0.902815475	-0.461432719
77	-0.925659133	0.697362729
78	-0.892415838	0.399117478
79	0.12101757	-0.826796807
80	0.462946598	1.029766949
81	0.321177439	1.093865706
82	0.131340384	-1.027586789
83	0.437386076	-0.951725592
84	0.842432806	-0.007858126
85	-0.914235299	-0.724358944
86	-0.942024949	-0.4560702
87	-0.70389888	-0.755551841
88	0.312586713	0.952652175
89	0.482670025	-0.86912177
90	0.238567585	-0.974114725
91	0.479346954	-1.000094328
92	-0.730681925	-0.477197691
93	0.32288612	0.78466835
94	-0.972303804	-0.595320804
95	0.969438035	0.078747956
96	-0.611370972	-0.417327886
97	0.418800884	-1.132976087
98	-0.813797391	0.630270497
99	0.211611339	0.926269021
100	1.057066608	-0.012862634
101	-0.744850721	-0.556032158
102	0.395459991	0.940700187
103	0.322187595	0.906328379
104	-1.00172231	0.696416802
105	1.070932883	0.023664863
106	0.405086723	0.910036781
107	1.082884346	-0.078389353
108	-0.9275952	-0.60462991
109	1.113746435	0.020431344
110	0.283378522	-1.023246246
111	-0.655061895	-0.460908612
112	-0.874242336	0.772617862
113	0.433616882	0.938179493
114	1.135519134	-0.187554824
115	-0.63901134	0.665950523
116	0.940069692	0.048093969
117	0.162751644	1.122116422
118	0.998696497	0.060848933
119	-0.676832439	-0.580213209
120	0.237764476	-1.13767886
121	-0.893060631	-0.776525327
122	-0.796236776	-0.710795784
123	-0.75677922	0.756794224
124	0.173125338	0.855240318
125	-0.661201215	-0.76206383
126	0.428661046	0.941530573
127	0.860332089	0.004487696
128	-0.944652487	0.530169181
129	-0.897507765	-0.555527203
130	1.040363845	-0.185101059
131	0.373536189	-0.912117044
132	-0.830724012	-0.759065683
133	-0.740596341	-0.492638696
134	0.813422301	-0.114480638
135	-0.712200734	-0.670138715
136	-0.917284106	-0.506623956
137	-0.83770319	-0.75650115
138	0.284774078	-1.04135352
139	-0.693485434	-0.701355743
140	0.321114871	1.134771906
141	-0.720494676	-0.642840107
142	1.085440389	0.021671579
143	-0.934682271	-0.536935524
144	-0.698997031	-0.670930871
145	0.211069511	-0.816466394
146	0.285957612	0.973657712
147	0.393318734	1.00793005
148	0.395575781	-0.757636479
149	0.36685329	-1.146005051
150	-0.728281474	-0.62503725
151	-0.952545355	-0.495816047
152	0.454823581	-0.783303941
153	-0.643855539	-0.691149129
154	-0.931184489	0.647641277
155	0.171363783	-0.808436452
156	0.16621201	1.123765883
157	0.821763857	-0.078900973
158	1.063615276	-0.145518549
159	0.947123445	-0.064902885
160	-0.924344021	-0.776520265
161	-0.661250212	0.686062465
162	0.863056943	0.013548912
163	0.502920429	0.823832817
164	0.320457683	1.034024313
165	0.310607636	1.096454357
166	-0.856447691	-0.494166002
167	0.858810966	0.199956698
168	-0.922460338	0.73085584
169	-0.987349436	-0.474643151
170	-0.718319964	-0.641539202
171	-0.761401062	0.7385393
172	0.933746511	0.139000934
173	0.452317686	-0.80466517
174	-0.763333519	-0.400731343
175	-0.717479422	0.744983578
176	0.504809656	0.913020518
177	0.504851334	0.987832439
178	0.197116903	-0.795776708
179	1.157784683	-0.098236387
180	0.443950055	0.973351808
181	0.825830342	-0.157083956
182	0.494014402	-0.970008377
183	-0.929217126	-0.592818717
184	-0.92043184	-0.707265064
185	0.982422505	0.061837473
186	0.241261951	0.792893711
187	0.154232642	-1.09784838
188	-0.924379221	-0.70087399
189	0.867363637	-0.144907023
190	-0.678386916	0.45433293
191	0.166777877	0.993743153
192	0.326394996	-0.781613322
193	0.31593838	0.94659435
194	0.878974261	-0.19841336
195	1.188625371	-0.108831062
196	0.355023447	-0.836145843
197	0.896733529	-0.05345365
198	0.393561474	-0.753495521
199	-0.952187447	0.74610333
200	0.464486705	1.019746355
