No.	x1	x2	Class
1	-0.474862068	1.075492028	0
2	0.703066839	0.315282687	1
3	-0.112871074	1.589035149	0
4	1.410054656	-0.357365895	1
5	1.405407817	0.206031113	1
6	0.327422927	0.116423818	1
7	-0.279826312	1.321643584	0
8	-0.642500903	1.094487417	0
9	0.056778856	0.320998647	0
10	1.023568118	-0.641653359	1
11	1.018214552	-0.019024084	1
12	-0.339672538	1.571865981	0
13	0.791654632	-0.463996935	1
14	1.381956761	-0.506790159	1
15	1.109707888	-0.262975708	1
16	-0.210706774	1.144634832	0
17	0.754538267	0.416173687	1
18	0.894174137	-0.21994532	1
19	0.537639562	-0.346007826	1
20	-0.047005668	1.653188508	0
21	0.322978476	-0.132525187	1
22	1.035714728	-0.349794054	1
23	0.568452201	0.864924774	0
24	-0.162115039	0.9640602	0
25	-0.258174788	1.161269283	0
26	1.031370683	0.387337102	1
27	1.5335359	-0.048070984	1
28	0.9907226	0.182507799	1
29	0.131086174	0.693172382	0
30	0.2098367	1.302091993	0
31	0.65327229	-0.116982274	1
32	0.412947472	0.052978612	1
33	-0.201195876	0.751160125	0
34	0.439446316	-0.101870001	1
35	-0.56942112	0.61103479	0
36	-0.531471418	0.915061625	0
37	0.430380471	1.462461493	0
38	0.673116826	0.176203522	1
39	1.390652216	-0.50872744	1
40	0.850795465	-0.641879674	1
41	1.595575317	0.241049979	1
42	1.247697429	-0.267693059	1
43	0.482327269	0.631967382	0
44	-0.057346073	0.900074553	0
45	0.328042932	1.605495632	0
46	1.074859421	0.490230059	1
47	0.245271744	0.709657058	0
48	-0.378326008	1.356130531	0
49	0.741534709	0.108233173	1
50	1.653846138	-0.081219378	1
51	0.601629739	-0.49847491	1
52	0.573768641	1.277684867	0
53	1.238935489	0.481299999	1
54	1.49514485	-0.486572717	1
55	-0.134792278	0.500895942	0
56	0.994901409	0.622599136	1
57	-0.358027559	0.507196101	0
58	0.268770003	0.486059956	0
59	-0.109316723	1.496320115	0
60	0.855709696	0.020780413	1
61	-0.019701315	1.009245977	0
62	0.100595903	0.848222903	0
63	1.291084082	0.232622771	1
64	1.084091408	0.157578018	1
65	-0.530429322	1.349489319	0
66	-0.169539173	0.851637863	0
67	0.631312811	0.818973968	0
68	0.439200621	1.285160385	0
69	-0.544000175	1.070143035	0
70	1.37060851	0.042038104	1
71	0.152075528	1.029614703	0
72	-0.058144053	1.463113398	0
73	-0.067460363	0.967631922	0
74	0.208967136	1.162096635	0
75	1.446909369	0.392774554	1
76	-0.197660621	0.470896069	0
77	0.496608665	0.88955203	0
78	0.117466812	1.33741929	0
79	0.084047821	0.729507359	0
80	0.708630453	0.355534228	1
81	1.397506271	-0.395057928	1
82	0.831942425	0.4024101	1
83	1.165454595	-0.174568859	1
84	-0.167381163	1.045457254	0
85	0.131544731	0.996663805	0
86	-0.268913144	0.699867387	0
87	0.693464657	-0.187750396	1
88	1.199217663	-0.387469741	1
89	0.155534178	1.397024777	0
90	0.476188169	0.539862108	0
91	0.481618439	0.670548981	0
92	1.15740308	0.551507644	1
93	0.052431278	1.023436155	0
94	1.074346717	-0.345033627	1
95	-0.27939515	1.356092575	0
96	0.281038795	0.577864129	0
97	-0.10053296	0.961655642	0
98	1.315920673	0.552786422	1
99	1.011310049	-0.628151489	1
100	-0.379911858	1.181500671	0
101	0.613946551	1.064939444	0
102	0.666136439	0.221826268	1
103	1.296929794	0.243363411	1
104	1.567914937	0.188450318	1
105	1.266433578	0.340025891	1
106	0.139629148	0.593722151	0
107	0.24110581	0.396022228	0
108	1.430154775	-0.354097054	1
109	1.308693695	-0.423364435	1
110	0.433741296	0.869126645	0
111	0.704413116	-0.462931725	1
112	0.316109826	0.610456449	0
113	0.112669427	0.422297281	0
114	0.019066178	0.944789355	0
115	0.872114327	0.130665046	1
116	0.583569715	0.934029473	0
117	1.236285122	-0.347960175	1
118	1.378977823	-0.362941443	1
119	1.247946843	-0.618200101	1
120	-0.647334134	1.227330604	0
121	0.909719714	-0.146830204	1
122	0.276427426	1.489605856	0
123	-0.285032599	0.590707711	0
124	1.036291508	-0.285238215	1
125	1.371346564	0.29046525	1
126	-0.244924804	1.0893577	0
127	1.077832551	0.289341669	1
128	0.920385559	-0.39756725	1
129	0.387892339	1.386522729	0
130	-0.464422327	1.404180773	0
131	0.355232644	0.235652302	1
132	1.062514814	-0.346150173	1
133	-0.044995543	0.394625865	0
134	1.046351043	0.509454817	1
135	1.051614567	0.40251796	1
136	-0.175255104	0.715478852	0
137	0.413664824	1.098094999	0
138	0.865797968	-0.302297129	1
139	0.435756061	0.05612907	1
140	0.939457791	-0.689176999	1
141	0.720532829	-0.351227005	1
142	1.49544359	-0.352640044	1
143	1.036794821	0.457798582	1
144	0.535727608	0.476691407	1
145	0.28216764	0.464245575	0
146	1.567476656	0.08409892	1
147	1.231346588	0.150702954	1
148	0.131939838	0.677005561	0
149	0.318686335	0.714352286	0
150	-0.255075338	0.800966018	0
151	1.549661683	0.123251101	1
152	0.983121377	-0.269096453	1
153	0.007573735	1.477508042	0
154	0.902339472	0.171807457	1
155	0.728830334	-0.061429162	1
156	0.400056014	0.445966568	0
157	0.533524947	-0.155638114	1
158	1.032961239	0.608190578	1
159	-0.464472559	0.910857692	0
160	-0.17075394	1.521409195	0
161	-0.144441458	0.936301017	0
162	1.508142821	-0.233495651	1
163	1.335065335	-0.427489261	1
164	1.523822003	-0.248252455	1
165	-0.39150372	0.737828196	0
166	0.106572159	0.741035472	0
167	-0.594766788	0.891237485	0
168	1.339198968	-0.431079036	1
169	0.268641999	0.62892957	0
170	1.213160142	-0.658391011	1
171	-0.562259771	0.942642268	0
172	0.785570515	-0.016117732	1
173	0.99293845	-0.455628053	1
174	-0.027247972	1.093525859	0
175	1.41331599	-0.527807209	1
176	0.57228317	0.688867075	0
177	-0.54059736	0.88918218	0
178	-0.245949542	0.825407108	0
179	0.619064324	0.926587702	0
180	1.313683473	-0.418754545	1
181	-0.492527962	1.178742489	0
182	1.125840592	-0.023688088	1
183	1.055142115	0.046568292	1
184	-0.156949476	1.295051346	0
185	0.995129711	0.064749848	1
186	0.604114418	1.103559425	0
187	-0.447028109	1.43279443	0
188	0.449880269	1.169984177	0
189	0.510460752	0.130907764	1
190	0.338402681	1.148590135	0
191	0.39957114	0.284025588	1
192	-0.488839415	1.003967414	0
193	1.059833027	-0.083985571	1
194	0.073564214	1.370002452	0
195	-0.310057785	1.218355795	0
196	0.968121352	-0.584343473	1
197	1.058610124	0.505886334	1
198	0.005545709	1.160267148	0
199	0.679518986	1.051819583	0
200	0.61598265	0.461467071	1
